skill_name,video_title,video_id,views,likes,keyword_score
box and whisker,Box and whisker plot exercise example | Data and statistics | 6th grade | Khan Academy,,0,0,2
box and whisker,Constructing a box and whisker plot | Probability and Statistics | Khan Academy,,0,0,2
box and whisker,Learn How to Use Pixar in a Box with Your Students,,0,0,1
box and whisker,Another example constructing box plot | Data and statistics | 6th grade | Khan Academy,,0,0,1
box and whisker,Drew Houston - CEO and Founder of Dropbox | Entrepreneurship | Khan Academy,,0,0,1
box and whisker,Surface area of a box using nets,,0,0,1
box and whisker,Surface area of a box,,0,0,1
box and whisker,"Comparing dot plots, histograms, and box plots | Data and statistics | 6th grade | Khan Academy",,0,0,1
box and whisker,Pixar in a Box | Welcome to Pixar in a Box | Khan Academy,,0,0,1
box and whisker,Getting to 10 by filling boxes | Basic addition and subtraction | Early Math | Khan Academy,,0,0,1
circle graph,Graphing a circle from its standard equation | Mathematics II | High School Math | Khan Academy,,0,0,2
circle graph,Features of a circle from its graph | Mathematics II | High School Math | Khan Academy,,0,0,2
circle graph,Graphing circles from features | Mathematics II | High School Math | Khan Academy,,0,0,2
circle graph,Reading inverse values from a graph,,0,0,1
circle graph,Multiplying complex numbers graphically example: -1-i | Precalculus | Khan Academy,,0,0,1
circle graph,Multiplying complex numbers graphically example: -3i | Precalculus | Khan Academy,,0,0,1
circle graph,Thin-layer chromatography (TLC) | Intermolecular forces and properties | AP Chemistry | Khan Academy,,0,0,1
circle graph,Interpreting trigonometric graphs in context | Trigonometry | Algebra || | Khan Academy,,0,0,1
circle graph,Graph labels and scales | Modeling | Algebra II | Khan Academy,,0,0,1
circle graph,Radians as ratio of arc length to radius | Circles | High school geometry | Khan Academy,,0,0,1
histogram as table or graph,Slope and intercept meaning from a table | Linear equations & graphs | Algebra I | Khan Academy,,0,0,2
histogram as table or graph,Calculating slope from tables | Linear equations & graphs | Algebra I | Khan Academy,,0,0,2
histogram as table or graph,Graphing a parabola with a table of values | Quadratic equations | Algebra I | Khan Academy,,0,0,2
histogram as table or graph,Reading inverse values from a graph,,0,0,1
histogram as table or graph,Be Like Sal: 3 Ways a Tablet Can Energize Your Digital Teaching!,,0,0,1
histogram as table or graph,Example: Graphing y=-cos(π⋅x)+1.5 | Trigonometry | Algebra 2 | Khan Academy,,0,0,1
histogram as table or graph,Example: Graphing y=3⋅sin(½⋅x)-2 | Trigonometry | Algebra 2 | Khan Academy,,0,0,1
histogram as table or graph,Column chromatography | Intermolecular forces and properties | AP Chemistry | Khan Academy,,0,0,1
histogram as table or graph,Thin-layer chromatography (TLC) | Intermolecular forces and properties | AP Chemistry | Khan Academy,,0,0,1
histogram as table or graph,Interpreting trigonometric graphs in context | Trigonometry | Algebra || | Khan Academy,,0,0,1
number line,Placing positive and negative decimals on a number line | Decimals | Pre-Algebra | Khan Academy,,0,0,2
number line,Ratios and double number lines,,0,0,2
number line,Comparing small numbers on the number line | Counting | Early Math | Khan Academy,,0,0,2
number line,Mixed number or improper fraction on a number line | Fractions | Pre-Algebra | Khan Academy,,0,0,2
number line,Equivalent fractions on number lines,,0,0,2
number line,Fractions on the number line widget | Understand fractions | 3rd grade | Khan Academy,,0,0,2
number line,Telling time problems with number line | Fractions | 3rd grade | Khan Academy,,0,0,2
number line,Comparing absolute values on number line | Negative numbers | 6th grade | Khan Academy,,0,0,2
number line,Fraction multiplcation on the number line,,0,0,2
number line,Sorting absolute values on number line | Negative numbers | 6th grade | Khan Academy,,0,0,2
scatter plot,People smoking less over time scatter plot | Regression | Probability and Statistics | Khan Academy,,0,0,2
scatter plot,"Studying, shoe size, and test scores scatter plots | Probability and Statistics | Khan Academy",,0,0,2
scatter plot,Constructing scatter plot exercise example | Regression | Probability and Statistics | Khan Academy,,0,0,2
scatter plot,Constructing a scatter plot | Regression | Probability and Statistics | Khan Academy,,0,0,2
scatter plot,Analyzing mosaic plots | Exploring two-variable data | AP Statistics | Khan Academy,,0,0,1
scatter plot,Mosaic plots and segmented bar charts | Exploring two-variable data | AP Statistics | Khan Academy,,0,0,1
scatter plot,Making line plots with fractional data,,0,0,1
scatter plot,Interpreting plotted points,,0,0,1
scatter plot,Example plotting corners of rectangle,,0,0,1
scatter plot,Contour plots | Multivariable calculus | Khan Academy,,0,0,1
stem and leaf plot,Reading stem and leaf plots | Applying mathematical reasoning | Pre-Algebra | Khan Academy,,0,0,3
stem and leaf plot,Feedback in living systems | Growth and feedback in organisms | High school biology | Khan Academy,,0,0,1
stem and leaf plot,El Niño and La Niña| Earth systems and resources| AP Environmental science| Khan Academy,,0,0,1
stem and leaf plot,Soil Texture Triangle| Earth systems and resources| AP environmental science| Khan Academy,,0,0,1
stem and leaf plot,Representing systems of any number of equations with matrices | Precalculus | Khan Academy,,0,0,1
stem and leaf plot,Representing systems of equations with matrices | Matrices | Precalculus | Khan Academy,,0,0,1
stem and leaf plot,Systems and Objects | Dynamics | AP Physics I | Khan Academy,,0,0,1
stem and leaf plot,Human impacts on ecosystems | Interactions in ecosystems | High school biology | Khan Academy,,0,0,1
stem and leaf plot,Primary productivity in ecosystems| Matter and Energy Flow| AP Environmental Science| Khan Academy,,0,0,1
stem and leaf plot,Global wind patterns| Earth systems and resources| AP environmental science| Khan Academy,,0,0,1
table,Theoretical probability distribution example: tables | Probability & combinatorics,,0,0,1
table,Be Like Sal: 3 Ways a Tablet Can Energize Your Digital Teaching!,,0,0,1
table,Place value tables,,0,0,1
table,Jorge Paulo Lemann on building a more equitable future in Brazil | Homeroom with Sal,,0,0,1
table,Groups of the periodic table | Periodic table | Chemistry | Khan Academy,,0,0,1
table,Even and odd functions: Tables | Transformations of functions | Algebra 2 | Khan Academy,,0,0,1
table,Slope and intercept meaning from a table | Linear equations & graphs | Algebra I | Khan Academy,,0,0,1
table,Slope and intercept in tables,,0,0,1
table,Calculating slope from tables | Linear equations & graphs | Algebra I | Khan Academy,,0,0,1
table,Reading tables 1,,0,0,1
